Name,Status,Product ID,Price ID,Price,Billing Type,Error
Strategic Planning Basic,Success,prod_TH0pR2FdeZrGA5,price_1SKSoHFJO3XvllUN6BQm6AcL,$2500.00,one_time,
Strategic Planning Advanced,Success,prod_TH0pFOYDD8qAXd,price_1SKSoIFJO3XvllUNMkGzpPvA,$5000.00,one_time,
Vision and Mission Workshop,Success,prod_TH0p9AgC3eWYrn,price_1SKSoIFJO3XvllUNfih5bl6h,$1500.00,one_time,
Goal Setting Session,Success,prod_TH0pNsr5Jo92Rp,price_1SKSoIFJO3XvllUN7Ya3vEdP,$1200.00,one_time,
Team Retreat - Half Day,Success,prod_TH0psFHX7Avjvq,price_1SKSoJFJO3XvllUNkcbkNteO,$2000.00,one_time,
Team Retreat - Full Day,Success,prod_TH0phtd9AH4jj2,price_1SKSoJFJO3XvllUNLyP6d8Jn,$3500.00,one_time,
Leadership Team Building,Success,prod_TH0pdUpY0svCZS,price_1SKSoJFJO3XvllUN3ET4Ud46,$4500.00,one_time,
Conflict Resolution Workshop,Success,prod_TH0qbZjXrGqCvg,price_1SKSoKFJO3XvllUNNjdwbMSu,$1800.00,one_time,
Leadership Development Training,Success,prod_TH0qLD7fXOjWNU,price_1SKSoKFJO3XvllUNYppSjQiK,$3000.00,one_time,
Communication Skills Training,Success,prod_TH0q4SmDOlt3Yb,price_1SKSoLFJO3XvllUNWtbvmFvJ,$2200.00,one_time,
Change Management Training,Success,prod_TH0q4IcgWGk88p,price_1SKSoLFJO3XvllUNyhUK6W2H,$2800.00,one_time,
Project Management Training,Success,prod_TH0qQM1EaiLnbm,price_1SKSoMFJO3XvllUNFvkwnc8B,$2500.00,one_time,
Customer Service Training,Success,prod_TH0qnhiZOrlgIa,price_1SKSoMFJO3XvllUNiPCLdTrE,$1800.00,one_time,
Digital Readiness Assessment,Success,prod_TH0qxlxjSOom9v,price_1SKSoMFJO3XvllUNcbdnrW3N,$1500.00,one_time,
Software Implementation Support,Success,prod_TH0qqCZnk7aRO9,price_1SKSoNFJO3XvllUNarLMOi8Q,$4000.00,one_time,
User Training Program,Success,prod_TH0qMdHubCp89X,price_1SKSoNFJO3XvllUNsRoqIS6v,$2500.00,one_time,
Digital Change Management,Success,prod_TH0qwjioOPPSiy,price_1SKSoNFJO3XvllUNS7xzvIxq,$3200.00,one_time,
Digital Workflow Optimization,Success,prod_TH0q0JF4Ob6zSj,price_1SKSoOFJO3XvllUNSKcEzddX,$2800.00,one_time,
